Index,tracks,Timestamp,X,Y,Z,Speed_X,Speed_Y,Speed_Z,Speed,Year,Month,Day,Hour,Min,Sec
553202,8,1579018360.3537,-1388.53114573995,-323.1919095302,-496.311020894276,NaN,-3.83457664970714,-3.78698227710806,5.38936107990639,2020,1,14,16,12,40.353700521
553205,8,1579018360.88021,-1408.21612472995,-351.773797830567,-507.444886218612,-13.1938487492745,32.6301004368724,8.05665949081705,36.1069364733439,2020,1,14,16,12,40.880210937
553208,8,1579018361.38643,-1417.70570757997,-340.962509009987,-540.114449940431,NaN,17.8168003681489,NaN,NaN,2020,1,14,16,12,41.386434896
553210,8,1579018361.87423,-1420.09722861997,-338.33806521073,-550.70908641182,NaN,10.8408424533709,NaN,NaN,2020,1,14,16,12,41.874229167
553212,8,1579018362.35387,-1420.39765000995,-343.348744380288,-541.790144267698,-10.1023607352492,NaN,43.1875378809064,NaN,2020,1,14,16,12,42.353875
553213,8,1579018362.81896,-1503.61483809003,-290.720565680414,-513.415030344915,NaN,NaN,11.6096414064004,NaN,2020,1,14,16,12,42.818963542
553214,8,1579018363.24921,-1498.22005902999,-286.166215620004,-504.357784205959,NaN,NaN,-19.7440861969032,NaN,2020,1,14,16,12,43.249205729
553217,8,1579018364.06471,-1501.46245181002,-291.831044500694,-501.981276560941,-15.3656390161054,3.57163647704682,-13.0659912172107,20.4836416680643,2020,1,14,16,12,44.064708333
553220,8,1579018364.48241,-1504.27145908005,-290.57018565014,-508.695646071115,NaN,5.43343463499763,25.5094919286813,26.0817252188625,2020,1,14,16,12,44.48240625
553224,8,1579018366.09255,-1494.50096351001,-271.27331767045,-510.415292264802,NaN,5.09137694538944,5.27587119333003,7.33191216864009,2020,1,14,16,12,46.092554687
553226,8,1579018366.52373,-1508.73251216998,-292.338715470396,-516.334912326897,NaN,25.1718349780541,10.8266387479794,27.4014120574403,2020,1,14,16,12,46.523734375
553228,8,1579018366.9749,-1511.81221725,-284.540412420407,-534.506791563261,27.7737434635736,NaN,17.3064519296963,NaN,2020,1,14,16,12,46.974903646
553285,8,1579018397.48277,-1477.64821767004,-217.919946120121,-466.790030104391,0.466169641576148,3.9306854100976,0.140216729873252,3.96071491769071,2020,1,14,16,13,17.482773437
553288,8,1579018398.44698,-1481.52724503004,-211.137001470663,-489.683921347991,17.126746285154,NaN,21.6133372582318,NaN,2020,1,14,16,13,18.446976562
553296,8,1579018399.87188,-1490.31903525,-216.119469250552,-507.821831098881,10.4279218746798,3.7681163554393,22.9126509179399,25.4544657688965,2020,1,14,16,13,19.871877604
553299,8,1579018400.32694,-1482.06417610997,-209.048386750743,-490.403611760937,15.0285953018273,11.2418427944033,9.85392032301957,21.1975812745841,2020,1,14,16,13,20.326940104
553305,8,1579018402.7321,-1479.69482104003,-213.277406450361,-471.584749680191,1.77320395071328,2.84393192496041,13.2189193117832,13.6371561850727,2020,1,14,16,13,22.732104167
553308,8,1579018403.34618,-1485.32664095005,-214.937063230202,-487.912431186873,11.3702608634774,12.396163449963,NaN,NaN,2020,1,14,16,13,23.346177083
553312,8,1579018403.89537,-1470.34083899006,-191.934002759866,-472.020801728896,9.44879067067112,31.9748153855262,NaN,NaN,2020,1,14,16,13,23.895367187
553316,8,1579018404.40241,-1470.11865124002,-193.505577180535,-466.817452451481,2.73564845575712,NaN,30.2938515181278,NaN,2020,1,14,16,13,24.402414062
553320,8,1579018404.93119,-1465.20989652001,-201.381306869909,-429.222220804352,23.678753228523,32.1592116344129,26.5320775263911,NaN,2020,1,14,16,13,24.931192707
553339,8,1579018409.98676,-1471.96819103998,-188.370672990568,-466.68213866317,NaN,1.82824641894735,1.85261580957115,2.60281968377888,2020,1,14,16,13,29.986755208
